sl_no,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary
112,M,72.37,Central,37,Central,Science,81.49,Comm&Mgmt,No,51.09,Mkt&Fin,51.21,Placed,
126,M,56.79,Central,39.39,Others,Science,76.75,Comm&Mgmt,No,60.8,Mkt&HR,51.5,Not Placed,
80,M,77.47,Others,37,Others,Commerce,72.51,Comm&Mgmt,No,74.71,Mkt&HR,51.21,Placed,206222
1,M,88.22,Central,93,Central,Science,84.29,Comm&Mgmt,No,60.71,Mkt&HR,73.82,Placed,200000
65,M,61.41,Central,38.44,Others,Commerce,55.83,Comm&Mgmt,Yes,71.31,Mkt&HR,67.36,Not Placed,297856
166,M,62.63,Others,50.54,Central,Commerce,83.53,Comm&Mgmt,No,50,Mkt&Fin,64.06,Placed,266710
49,F,49.23,Central,51.27,Others,Commerce,55.77,Comm&Mgmt,Yes,98,Mkt&Fin,57.62,Not Placed,232087
85,F,88.8,Central,67.21,Others,Commerce,78.78,Comm&Mgmt,No,58.82,Mkt&HR,69.59,Placed,303684
86,M,52.17,Central,37,Others,Commerce,75.74,Comm&Mgmt,No,59.07,Mkt&Fin,51.21,Placed,200000
112,M,64.16,Central,41.93,Central,Arts,67.91,Comm&Mgmt,No,65.17,Mkt&Fin,64.75,Placed,261055
122,M,61.46,Others,53.46,Others,Commerce,51.86,Comm&Mgmt,Yes,63.16,Mkt&HR,51.21,Not Placed,
112,M,89.4,Others,64.3,Others,Science,84.94,Comm&Mgmt,Yes,73.13,Mkt&Fin,58.9,Placed,200000
70,M,79.81,Others,62.97,Others,Commerce,60.63,Comm&Mgmt,No,50,Mkt&Fin,60.53,Placed,200000
75,F,70.73,Central,47.28,Others,Commerce,91,Others,Yes,50,Mkt&HR,56.51,Placed,219571
131,M,76.37,Others,37,Others,Science,72.84,Sci&Tech,Yes,50,Mkt&Fin,74.52,Not Placed,
131,F,73.87,Central,48.15,Others,Commerce,66.24,Others,No,74.76,Mkt&Fin,54.64,Not Placed,265597
13,F,76.46,Central,38.42,Others,Commerce,79.91,Comm&Mgmt,No,77.08,Mkt&Fin,65.69,Not Placed,272010
82,F,49.2,Others,45.32,Others,Commerce,53.39,Comm&Mgmt,No,98,Mkt&Fin,53.33,Not Placed,200000
1,F,85.14,Central,49.35,Others,Commerce,91,Comm&Mgmt,No,50,Mkt&Fin,62.83,Placed,258178
215,M,58.64,Others,51.15,Others,Commerce,66.55,Comm&Mgmt,No,79.15,Mkt&Fin,58.37,Placed,214667
157,F,76.18,Central,51.81,Others,Commerce,77,Comm&Mgmt,Yes,54.74,Mkt&Fin,53.52,Placed,200000
6,F,64.16,Others,41.47,Central,Science,65.26,Comm&Mgmt,No,67.43,Mkt&HR,51.32,Not Placed,300007
205,M,66.39,Central,37,Central,Commerce,58.39,Comm&Mgmt,Yes,50,Mkt&Fin,69.42,Placed,278191
180,M,76.01,Central,47.75,Others,Commerce,74.74,Comm&Mgmt,No,93.77,Mkt&Fin,61.18,Placed,269392
1,M,71.52,Others,37,Others,Commerce,63.18,Comm&Mgmt,Yes,98,Mkt&Fin,63.9,Placed,294385
1,F,67.35,Central,64.68,Central,Science,91,Comm&Mgmt,No,59.51,Mkt&Fin,72,Not Placed,286181
159,M,87.28,Central,77.1,Others,Commerce,77.95,Comm&Mgmt,No,78.44,Mkt&Fin,65.56,Placed,254251
97,F,76.9,Central,64.62,Central,Commerce,75.38,Comm&Mgmt,Yes,77.71,Mkt&Fin,73.6,Placed,271960
81,M,85.76,Others,67.01,Others,Commerce,91,Comm&Mgmt,No,57.52,Mkt&Fin,53.42,Placed,275234
104,M,64.61,Central,63.12,Others,Commerce,80.03,Comm&Mgmt,Yes,98,Mkt&HR,51.21,Placed,259365
138,F,89.4,Others,41.45,Central,Science,76.57,Comm&Mgmt,No,70.21,Mkt&Fin,71.33,Not Placed,200000
161,F,59.67,Central,37,Others,Science,66.56,Comm&Mgmt,No,50,Mkt&HR,57.09,Placed,
155,F,89.4,Others,38.37,Others,Science,91,Comm&Mgmt,No,69.44,Mkt&Fin,70.87,Placed,200000
17,M,89.4,Others,83.75,Others,Commerce,88.83,Comm&Mgmt,No,50,Mkt&Fin,72.41,Placed,295760
215,M,86.65,Central,55.17,Central,Science,75.31,Comm&Mgmt,No,59.05,Mkt&Fin,57.46,Placed,267933
129,M,87.89,Others,58.88,Others,Science,81.58,Comm&Mgmt,No,59.64,Mkt&Fin,56.42,Placed,200000
215,F,77.64,Others,53.86,Others,Science,70.11,Comm&Mgmt,No,68.36,Mkt&HR,51.45,Not Placed,
215,F,69.97,Others,37,Others,Science,65.95,Comm&Mgmt,Yes,93.05,Mkt&Fin,56.24,Not Placed,214070
179,M,83.83,Others,53.73,Central,Science,79.07,Comm&Mgmt,Yes,53.85,Mkt&Fin,56.15,Placed,200000
84,M,61.49,Others,37,Central,Arts,50,Comm&Mgmt,No,66.63,Mkt&HR,54.2,Placed,
153,M,85.59,Central,58.32,Others,Commerce,73.3,Comm&Mgmt,No,50.58,Mkt&Fin,76.88,Placed,
17,M,89.4,Central,86.81,Others,Commerce,76.16,Comm&Mgmt,No,94.31,Mkt&Fin,60.93,Placed,237240
85,M,69.16,Central,68.38,Others,Science,88.02,Comm&Mgmt,Yes,60.08,Mkt&Fin,77.89,Placed,258503
215,M,78.6,Central,57.14,Others,Commerce,64.97,Comm&Mgmt,No,70.68,Mkt&Fin,59.91,Placed,315967
215,F,74.91,Central,39.67,Others,Science,69.29,Comm&Mgmt,No,52.78,Mkt&HR,59.27,Placed,
64,M,89.4,Others,53.96,Central,Commerce,86.75,Comm&Mgmt,No,74.1,Mkt&Fin,68.49,Placed,209823
215,M,66.64,Central,49.3,Others,Commerce,65.1,Comm&Mgmt,No,60.72,Mkt&Fin,65.15,Placed,234495
148,F,89.4,Central,43.28,Central,Arts,70.53,Comm&Mgmt,No,95.72,Mkt&Fin,62.05,Placed,
1,M,58.37,Others,73.98,Others,Science,90.33,Comm&Mgmt,No,78.97,Mkt&Fin,62.41,Placed,302731
215,F,89.04,Central,63.37,Others,Commerce,83.18,Comm&Mgmt,Yes,66.58,Mkt&HR,77.89,Not Placed,200000
45,M,73.31,Central,77.11,Central,Arts,87.47,Comm&Mgmt,No,50,Mkt&Fin,67.24,Placed,
158,M,79.26,Central,41.6,Central,Commerce,63.81,Comm&Mgmt,Yes,74.15,Mkt&Fin,64.9,Placed,
25,F,44.33,Central,52.23,Others,Commerce,87.92,Comm&Mgmt,No,60.63,Mkt&HR,57.07,Placed,305604
1,M,54.81,Others,38.82,Others,Commerce,69.66,Comm&Mgmt,No,68.83,Mkt&Fin,59.03,Placed,
1,M,66.21,Central,37.47,Others,Commerce,79.27,Comm&Mgmt,No,50,Mkt&Fin,60.5,Placed,222883
52,F,73.43,Central,39.3,Others,Commerce,50,Comm&Mgmt,No,89.48,Mkt&HR,58.2,Placed,282054
215,M,78.59,Others,45.35,Others,Commerce,64.58,Others,Yes,77.44,Mkt&Fin,59.21,Placed,
156,M,61.98,Central,54.93,Others,Commerce,81.99,Comm&Mgmt,No,50,Mkt&Fin,52.86,Placed,303307
156,M,89.4,Central,71.69,Others,Arts,91,Comm&Mgmt,No,50,Mkt&Fin,62.18,Placed,212043
187,M,61.95,Central,48.41,Others,Commerce,75.35,Comm&Mgmt,No,53.59,Mkt&Fin,62.73,Not Placed,
187,M,85.85,Central,60.97,Central,Commerce,57.49,Sci&Tech,No,80.26,Mkt&Fin,70.75,Placed,289496
186,F,64.21,Others,60.53,Others,Science,52.66,Comm&Mgmt,No,72.39,Mkt&Fin,51.21,Placed,268657
164,M,72.26,Central,46.36,Others,Commerce,50.52,Comm&Mgmt,No,53.49,Mkt&Fin,59.8,Not Placed,256741
175,M,45.71,Others,55.92,Central,Commerce,50,Comm&Mgmt,No,73.48,Mkt&HR,51.21,Placed,
39,F,60.28,Central,76.44,Others,Commerce,84.22,Sci&Tech,No,57.51,Mkt&Fin,59.67,Placed,
189,M,76.7,Central,53.79,Central,Science,61.51,Comm&Mgmt,No,50,Mkt&Fin,58.38,Placed,294505
208,M,72.82,Central,70.23,Others,Commerce,76.92,Comm&Mgmt,No,72.65,Mkt&Fin,59.06,Not Placed,200000
10,F,77.57,Others,75.69,Others,Commerce,69.27,Comm&Mgmt,No,98,Mkt&Fin,51.21,Not Placed,200000
154,M,74.09,Central,53.84,Others,Science,76.93,Comm&Mgmt,Yes,58.94,Mkt&Fin,56.8,Placed,309407
144,M,52.19,Central,54.97,Others,Commerce,84.24,Comm&Mgmt,No,50,Mkt&Fin,55.07,Not Placed,238946
215,M,89.4,Others,78.85,Others,Science,88.5,Comm&Mgmt,Yes,82.37,Mkt&HR,77.89,Placed,276560
183,M,89.4,Others,40.46,Central,Commerce,91,Comm&Mgmt,No,50,Mkt&Fin,68.49,Placed,200000
43,F,87.66,Central,57.39,Others,Arts,91,Comm&Mgmt,No,63.57,Mkt&HR,69.83,Not Placed,283368
52,M,89.4,Others,57.96,Central,Arts,91,Comm&Mgmt,Yes,53.29,Mkt&Fin,77.89,Placed,
215,M,81.04,Others,56.51,Central,Commerce,75.96,Comm&Mgmt,No,81.59,Mkt&Fin,64.97,Placed,266152
194,M,89.2,Others,37.91,Others,Science,70.78,Comm&Mgmt,No,50,Mkt&Fin,55.16,Placed,
215,M,61.95,Others,37,Central,Commerce,70.53,Sci&Tech,No,50,Mkt&HR,51.21,Placed,
178,M,63.96,Central,47.43,Others,Commerce,81.83,Comm&Mgmt,No,50,Mkt&Fin,73.92,Placed,217810
54,M,89.4,Central,47.81,Central,Commerce,57.16,Comm&Mgmt,Yes,53.71,Mkt&HR,67.51,Placed,218100
164,M,81.63,Others,58.93,Others,Commerce,78.02,Comm&Mgmt,Yes,66.52,Mkt&HR,51.21,Placed,200000
1,F,82.39,Central,66.5,Others,Science,91,Comm&Mgmt,No,68.35,Mkt&HR,62.04,Placed,200000
181,F,89.4,Others,37,Central,Commerce,54.31,Sci&Tech,Yes,64.08,Mkt&Fin,70.31,Placed,269911
190,M,70.79,Others,73.05,Others,Commerce,75.55,Comm&Mgmt,No,50,Mkt&Fin,51.21,Placed,271400
177,M,83.82,Others,55.06,Others,Science,76.84,Comm&Mgmt,No,59.5,Mkt&Fin,56.98,Not Placed,
46,M,40.89,Others,72.44,Others,Commerce,76.4,Comm&Mgmt,No,77.51,Mkt&HR,54.52,Placed,207990
64,M,89.4,Central,75.43,Others,Commerce,74.24,Comm&Mgmt,Yes,78.04,Mkt&Fin,56.21,Placed,200000
215,M,82.46,Central,64.9,Central,Commerce,91,Comm&Mgmt,No,50,Mkt&Fin,60.7,Placed,200000
117,M,68.53,Central,37,Others,Commerce,59.81,Comm&Mgmt,No,98,Mkt&Fin,51.21,Placed,270425
43,M,83.42,Central,37,Others,Commerce,91,Comm&Mgmt,No,54.88,Mkt&HR,57.21,Placed,269198
215,M,61.28,Others,59.46,Others,Commerce,78.61,Comm&Mgmt,No,50.94,Mkt&Fin,77.89,Placed,299540
215,M,74.31,Central,85.45,Others,Commerce,91,Comm&Mgmt,Yes,98,Mkt&Fin,73.78,Placed,362282
148,M,89.4,Central,46.34,Others,Commerce,72.04,Comm&Mgmt,Yes,66.34,Mkt&Fin,62.49,Placed,248512
55,F,89.4,Central,69.79,Central,Science,85.15,Comm&Mgmt,Yes,98,Mkt&Fin,77.89,Placed,200000
198,F,89.4,Others,38.18,Central,Arts,70.41,Comm&Mgmt,Yes,68.5,Mkt&HR,66.88,Not Placed,262310
159,M,66.17,Central,49.29,Central,Commerce,64.61,Comm&Mgmt,No,62.53,Mkt&HR,54.4,Not Placed,
68,M,85.48,Central,40.95,Central,Commerce,82.83,Comm&Mgmt,No,51.06,Mkt&Fin,54.71,Placed,280059
119,M,66.07,Others,41.16,Others,Commerce,51.39,Comm&Mgmt,No,68.24,Mkt&HR,51.21,Placed,
103,M,70.46,Central,53.47,Others,Commerce,87.85,Comm&Mgmt,No,63.78,Mkt&HR,70.1,Placed,
162,M,79.31,Others,72.45,Others,Commerce,50,Comm&Mgmt,No,98,Mkt&Fin,51.21,Not Placed,200000
10,F,89.4,Central,62.22,Central,Science,91,Comm&Mgmt,Yes,61.98,Mkt&Fin,68.13,Placed,247699
156,M,44.29,Central,37,Others,Science,81.01,Comm&Mgmt,No,52.48,Mkt&Fin,51.21,Not Placed,
159,F,81.86,Others,70.42,Others,Science,79.66,Comm&Mgmt,No,73.24,Mkt&HR,53.2,Placed,252999
1,F,89.4,Central,79.89,Others,Commerce,78.5,Comm&Mgmt,No,71.97,Mkt&Fin,71,Placed,279410
215,F,69.46,Central,77.04,Others,Commerce,91,Comm&Mgmt,Yes,58.47,Mkt&Fin,63.75,Placed,200000
44,F,57.01,Central,61.97,Others,Science,88.33,Comm&Mgmt,Yes,66.38,Mkt&Fin,62.31,Placed,303229
137,F,79.96,Central,37.61,Others,Science,84.32,Comm&Mgmt,Yes,59.77,Mkt&HR,58.88,Placed,273759
169,F,72,Others,55.7,Others,Science,82.74,Comm&Mgmt,No,50,Mkt&Fin,58.5,Not Placed,305410
215,F,87.3,Central,52.82,Central,Arts,86.49,Sci&Tech,No,55.94,Mkt&Fin,77.89,Placed,286448
1,M,89.4,Others,91.51,Others,Science,91,Comm&Mgmt,No,66.32,Mkt&Fin,70.29,Placed,233645
1,M,89.4,Others,70.46,Others,Science,91,Comm&Mgmt,No,52.51,Mkt&Fin,61.48,Placed,200000
53,M,89.4,Central,58.95,Central,Commerce,83.04,Comm&Mgmt,Yes,50,Mkt&Fin,68.22,Placed,
156,F,43.72,Central,41.35,Central,Commerce,85.86,Comm&Mgmt,No,59.34,Mkt&Fin,52.89,Not Placed,253338
147,F,83.85,Others,37,Others,Commerce,50,Comm&Mgmt,No,56.59,Mkt&Fin,54.42,Placed,250938
69,F,77.46,Central,45.02,Others,Science,53.18,Comm&Mgmt,No,50,Mkt&Fin,52.2,Placed,277229
139,M,74.13,Central,63.21,Others,Science,80.05,Comm&Mgmt,No,68.89,Mkt&Fin,75.69,Not Placed,287371
215,M,48.36,Central,53.32,Others,Science,53.09,Comm&Mgmt,No,57.05,Mkt&Fin,51.21,Not Placed,
121,M,69.62,Others,41.36,Others,Science,56.82,Comm&Mgmt,No,68.25,Mkt&HR,52.55,Placed,268968
1,M,89.4,Others,52.45,Others,Commerce,91,Comm&Mgmt,No,88.67,Mkt&Fin,70.82,Placed,200000
23,F,89.4,Others,59.16,Central,Commerce,91,Comm&Mgmt,Yes,50.97,Mkt&HR,51.21,Placed,263666
1,M,89.4,Central,74.49,Others,Commerce,78.95,Comm&Mgmt,No,96.07,Mkt&HR,65.93,Placed,
215,M,69.43,Central,49.95,Others,Commerce,71.08,Comm&Mgmt,No,58.92,Mkt&HR,67.72,Placed,446969
97,M,87.73,Others,78.52,Others,Commerce,91,Comm&Mgmt,No,50,Mkt&Fin,51.21,Placed,240343
48,M,89.4,Central,60.21,Others,Commerce,91,Comm&Mgmt,No,65.37,Mkt&Fin,70.06,Placed,277564
164,M,68.3,Central,37,Others,Commerce,50,Comm&Mgmt,No,60.52,Mkt&Fin,51.21,Placed,
116,M,81.1,Central,48.24,Others,Commerce,79.24,Comm&Mgmt,No,98,Mkt&Fin,64.33,Placed,200000
170,M,83.5,Others,63.11,Central,Commerce,75.36,Comm&Mgmt,Yes,65.13,Mkt&Fin,77.89,Placed,272761
89,F,89.4,Others,60.15,Others,Commerce,90.13,Comm&Mgmt,No,78.45,Mkt&Fin,68.68,Placed,227474
215,M,43.48,Central,48.26,Others,Commerce,67.31,Comm&Mgmt,No,59.46,Mkt&HR,51.21,Placed,277542
41,M,82.63,Central,58.63,Others,Arts,91,Comm&Mgmt,No,50,Mkt&Fin,59.45,Placed,200000
133,M,68.71,Central,43.12,Others,Commerce,50,Comm&Mgmt,Yes,80.93,Mkt&Fin,51.91,Not Placed,200000
126,M,50.52,Central,60.47,Others,Arts,67.23,Comm&Mgmt,No,88.42,Mkt&HR,56.02,Not Placed,
215,M,78.63,Others,52.36,Others,Science,68.32,Others,No,61.91,Mkt&Fin,70.28,Not Placed,
197,F,69.69,Central,82.9,Others,Science,84.27,Comm&Mgmt,No,63.36,Mkt&Fin,64.49,Not Placed,248311
215,M,89.4,Central,37,Others,Science,50,Comm&Mgmt,Yes,65.17,Mkt&Fin,51.21,Not Placed,
201,F,81.43,Central,51.69,Others,Arts,74.74,Comm&Mgmt,No,50,Mkt&Fin,51.21,Not Placed,
147,M,89.4,Others,48.41,Others,Science,91,Sci&Tech,No,50,Mkt&Fin,77.89,Placed,202245
175,M,63.29,Others,60.43,Others,Commerce,66.23,Sci&Tech,No,92.36,Mkt&Fin,51.21,Placed,269918
191,M,89.4,Others,88.5,Others,Commerce,91,Comm&Mgmt,No,50,Mkt&Fin,77.83,Placed,292814
189,M,89.4,Central,65.47,Others,Science,87.41,Comm&Mgmt,Yes,71.54,Mkt&Fin,77.42,Placed,229998
126,M,78.38,Others,41.86,Others,Commerce,81.64,Comm&Mgmt,No,50,Mkt&Fin,64.83,Placed,275605
117,M,80.76,Central,37,Others,Science,60.95,Comm&Mgmt,No,63.32,Mkt&Fin,77.77,Placed,258132
114,M,77.2,Others,72.14,Others,Science,88.28,Sci&Tech,Yes,72.67,Mkt&Fin,67.32,Placed,
215,F,70.1,Others,61.75,Others,Commerce,75.87,Comm&Mgmt,Yes,91.66,Mkt&Fin,63.41,Placed,235330
85,M,66.35,Others,58.37,Others,Arts,73.17,Comm&Mgmt,Yes,50,Mkt&Fin,53.35,Placed,
215,M,83.33,Others,63.5,Others,Arts,54.92,Sci&Tech,Yes,71.39,Mkt&Fin,51.21,Placed,200000
186,M,89.4,Central,65.43,Central,Science,50.85,Comm&Mgmt,Yes,70.21,Mkt&Fin,56.39,Placed,200000
22,M,72.81,Others,70.38,Others,Science,86.53,Comm&Mgmt,No,98,Mkt&Fin,71.77,Placed,200000
1,M,60.6,Central,39.87,Others,Commerce,81.49,Comm&Mgmt,No,64.63,Mkt&Fin,56.65,Not Placed,266965
64,M,74.25,Central,37,Others,Commerce,78.55,Comm&Mgmt,No,50,Mkt&HR,57.16,Placed,227252
1,M,59.43,Central,37,Others,Science,75.67,Sci&Tech,No,64.17,Mkt&HR,51.21,Placed,
170,F,88.38,Central,41.5,Others,Commerce,50,Comm&Mgmt,Yes,51.72,Mkt&HR,62.11,Not Placed,
25,F,85.09,Central,61.04,Others,Science,87.57,Comm&Mgmt,Yes,85.1,Mkt&HR,72.04,Placed,204270
81,F,56.17,Others,39.17,Central,Commerce,51.66,Comm&Mgmt,No,50.57,Mkt&Fin,54.05,Not Placed,300160
169,F,52.2,Others,52.41,Central,Science,58.97,Comm&Mgmt,Yes,54.07,Mkt&Fin,51.21,Not Placed,
